type,id,lat,lon,tags.addr:postcode,tags.admin_level,tags.alt_name:vi,tags.capital,tags.capital_ISO3166-1,tags.contact:website,tags.is_capital,tags.loc_name,tags.loc_name:fr,tags.name,tags.name:af,tags.name:am,tags.name:an,tags.name:ar,tags.name:arc,tags.name:arz,tags.name:ast,tags.name:ba,tags.name:bat-smg,tags.name:be,tags.name:be-tarask,tags.name:bg,tags.name:bn,tags.name:bo,tags.name:br,tags.name:bs,tags.name:ca,tags.name:cdo,tags.name:ckb,tags.name:co,tags.name:cs,tags.name:csb,tags.name:cu,tags.name:cv,tags.name:de,tags.name:el,tags.name:eml,tags.name:en,tags.name:en:pronunciation,tags.name:eo,tags.name:es,tags.name:et,tags.name:eu,tags.name:ext,tags.name:fa,tags.name:fi,tags.name:fiu-vro,tags.name:fr,tags.name:fr:pronunciation,tags.name:fur,tags.name:fy,tags.name:ga,tags.name:gan,tags.name:gl,tags.name:gn,tags.name:gu,tags.name:gv,tags.name:ha,tags.name:hak,tags.name:haw,tags.name:he,tags.name:hi,tags.name:hr,tags.name:ht,tags.name:hu,tags.name:hy,tags.name:is,tags.name:it,tags.name:ja,tags.name:jbo,tags.name:ka,tags.name:kk,tags.name:km,tags.name:kn,tags.name:ko,tags.name:koi,tags.name:krc,tags.name:ku,tags.name:kv,tags.name:ky,tags.name:la,tags.name:lb,tags.name:lez,tags.name:li,tags.name:lij,tags.name:ln,tags.name:lt,tags.name:lv,tags.name:lzh,tags.name:mhr,tags.name:mi,tags.name:mk,tags.name:ml,tags.name:mn,tags.name:mr,tags.name:mrj,tags.name:my,tags.name:myv,tags.name:mzn,tags.name:nan,tags.name:nap,tags.name:nds,tags.name:nds-nl,tags.name:ne,tags.name:nl,tags.name:no,tags.name:oc,tags.name:or,tags.name:os,tags.name:pa,tags.name:pl,tags.name:pnb,tags.name:pronunciation,tags.name:ps,tags.name:pt,tags.name:roa-rup,tags.name:roa-tara,tags.name:ru,tags.name:rue,tags.name:sah,tags.name:sc,tags.name:scn,tags.name:sh,tags.name:sk,tags.name:sl,tags.name:so,tags.name:sq,tags.name:sr,tags.name:sv,tags.name:szl,tags.name:ta,tags.name:te,tags.name:tet,tags.name:tg,tags.name:th,tags.name:tk,tags.name:tl,tags.name:tt,tags.name:tzl,tags.name:udm,tags.name:ug,tags.name:uk,tags.name:ur,tags.name:uz,tags.name:vec,tags.name:vep,tags.name:vi,tags.name:vls,tags.name:wo,tags.name:xmf,tags.name:yi,tags.name:yo,tags.name:yue,tags.name:za,tags.name:zh,tags.name:zh_pinyin,tags.name:zu,tags.old_name,tags.old_name:fr,tags.old_name:vi,tags.place,tags.population,tags.rank,tags.source:name:oc,tags.wikidata,tags.wikipedia,tags.alt_name,tags.alt_name:gl,tags.name:frp,tags.openGeoDB:postal_codes,tags.ref:FR:SIREN,tags.ref:LOCODE,tags.source:population,tags.name:jv,tags.name:pfl,tags.old_name:la,tags.website,tags.alt_name:ar,tags.alt_name:oc,tags.name:az,tags.postal_code,tags.source:name:eo,tags.alt_name:eo,tags.name:ce,tags.old_name:de,tags.name:zh-Hans,tags.name:zh-Hant,tags.name:pcd,tags.name:pms,tags.short_name:ca,tags.short_name:eu,tags.name:cy,tags.name:fr-x-gallo,tags.population:date,tags.alt_name:br,tags.capital:INSEE,tags.name:gd,tags.name:kw,tags.name:ang,tags.name:bar,tags.name:gsw,tags.name:kab,tags.name:lad,tags.name:mt,tags.name:stq,tags.name:tr,tags.name:crh,tags.alt_name:fro,tags.name:fro,tags.name:zea,tags.old_name:el,tags.name:azb,tags.old_name:sco,tags.source:postal_code,tags.alt_name:la,tags.old_name:nl,tags.ref:SIREN,tags.source,tags.name:1794-01-06--1794-02-12,tags.name:kk-Arab,tags.name:kmr,tags.source:name:br,tags.reg_name,tags.note,tags.alt_name:gcf,tags.name:gcf,tags.description,tags.name:ceb,tags.name:da,tags.name:id,tags.name:io,tags.name:mg,tags.name:ms,tags.name:war,tags.name:ty,tags.alt_name:mk,tags.name:hif,tags.name:lmo,tags.name:nov,tags.ele,tags.name:ia,tags.name:wuu,tags.name:kg,tags.name:lo
node,17807753,48.8566969,2.3514616,75000;75001;75002;75003;75004;75005;75006;75007;75008;75009;75010;75011;75012;75013;75014;75015;75016;75017;75018;75019;75020;75116,2,Ba Lê,yes,yes,http://www.paris.fr,country,Paname,Paname,Paris,Parys,ፓሪስ,París,باريس,ܦܐܪܝܣ,باريس,París,Париж,Parīžios,Парыж,Парыж,Париж,প্যারিস,ཕ་རི།,Pariz,Pariz,París,Bă-là̤,پاریس,Parighji,Paříž,Pariz,Парижь,Парис,Paris,Παρίσι,Parì,Paris,ˈpæɹ.ɪs,Parizo,París,Pariis,Paris,París,پاریس,Pariisi,Pariis,Paris,paʁi,Parîs,Parys,Páras,巴黎,París,Parĩ,પૅરિસ,Paarys,Pariis,Pâ-lì-sṳ,Palika,פריז,पैरिस,Pariz,Pari,Párizs,Փարիզ,París,Parigi,パリ,paris,პარიზი,Париж,ប៉ារីស,ಪ್ಯಾರಿಸ್,파리,Париж,Париж,Parîs,Париж,Париж,Lutetia,Paräis,Париж,Paries,Pariggi,Pari,Paryžius,Parīze,巴黎,Париж,Parī,Париз,പാരിസ്,Парис,पॅरिस,Париж,ပါရီမြို့,Париж ош,پاریس,Pa-lí,Parigge,Paris,Paries,पेरिस,Parijs,Paris,París,ପ୍ୟାରିସ,Париж,ਪੈਰਿਸ,Paryż,پیرس,paʁi,پاريس,Paris,Parij,Parigge,Париж,Паріж,Париж,Parigi,Pariggi,Pariz,Paríž,Pariz,Baariis,Parisi,Париз,Paris,Paryż,பாரிஸ்,పారిస్,París,Париж,ปารีส,Pariž,Paris,Париж,Parighi,Париж,پارىژ,Париж,پیرس,Parij,Parixe,Pariž,Paris,Parys,Pari,პარიზი,פאריז,Parisi,巴黎,Bahliz,巴黎,Bālí,IParisi,Lutèce,Lutèce,Ba Lê,city,2187526,0,ieo-bdtopoc,Q90,fr:Paris,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,20626319,45.7578137,4.8320114,69002,,,4,,,,,,Lyon,,,,ليون,,,,,,Ліён,,Лион,,,Lyon,,Lió,,,,,,,,,Λυών,,Lyon,,Liono,,,,,,,,Lyon,,,,,,Lión,,,,,,,,,,,Lyon,,,Lione,リヨン,,,,,ಲ್ಯೊ,리옹,,,,,,Lugdunum,,,,,,Lionas,Liona,,,,Лион,,,,,,,,,,,,,,,Lion,,,,,,,,Lião,,,Лион,,,,,,,,,,Лион,,,,,,,,,,,,,,Ліон,,,Lion,,,,,,,,,,里昂,,,,,,city,500715,10,ieo-bdtopoc,Q456,fr:Lyon,Lion,Lyon,Liyon,"69001,69002,69003,69004,69005,69006,69007,69008,69009",216901231,FRLIO,INSEE 2013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,26686463,49.1196964,6.1763552,57000;57050;57070,,,6,,,,,,Metz,,መትዝ,,متز,,,,,,Мец,,Мец,,མེ་ཊི་ཛི།,,,,,,,Mety,,,,,Μετς,,,,,,,,,متز,,,Metz,,,,,,,,,,,,,מץ,,,,Metz,Մեց,,,メス,,მეცი,Мец,,,메스,,,,,,Mettis,,,,,,Mecas,Meca,,,,Мец,,,मेस,,,,متز,,,,,,,,Mètz,,,,,میٹز,,,,,,Мец,,,,,,,,,,Мец,,,மெட்சு,,,,แม็ส,,,,,Мец,,Мец,میتز,,,,,,,,מעץ,,,,梅斯,,,,,,city,,,ieo-bdtopoc,Q22690,fr:Metz,,,,,215704636,,,Métz,Meds,Divodurum-Mediomatricorum,https://metz.fr/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,26686468,47.3900474,0.6889268,,,,6,,,,,,Tours,,,,تور,,,,,,Тур,,Тур (град),,,Teurgn,,,,,,,,,,,Τουρ,,,,Turo,,,,,تور,,,,,,,,,,,,,,,,טור,टुर,,,Tours,Տուր (քաղաք),,,トゥール,,ტური (საფრანგეთი),,,,투르,,,,,,Caesarodunum,,,,,,Tūras,Tūra,,,,,,,"तुर, फ्रान्स",,,,,,,,,,Tours (Indre-et-Loire),,Tors,,,,,,,,,,,Тур,,,,,,,,,,Тур,,,,,,Тур (Фаронса),,,,Тур (шәһәр),,,,Тур,تؤغ,Tours (Indre-et-Loire),,,,,,,,,,,图尔,,,,,,city,,,ieo-bdtopoc,Q288,,,,,,,,,,,,,طرش;ترش;تور (مدينة),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,26686473,45.7774551,3.0819427,,,,6,,,,,,Clermont-Ferrand,,,,كليرمون-فيران,,,,,,Клермон-Феран,,Клермон-Феран,,,Clarmont d'Auvergn,,Clarmont-d'Alvèrnia,,,,,,,,,Κλερμόν-Φεράν,,,,Klermonto-Ferando,,,,,کلرمون-فران,,,Clermont-Ferrand,,,,,,,,,,,,,קלרמון-פראן,क्लेरमाँ-फ़ेराँ,,,Clermont-Ferrand,Կլերմոն-Ֆերան,,,クレルモン＝フェラン,,კლერმონ-ფერანი,,,,클레르몽페랑,,,,,,Augustonemetum,,,,,,Klermonas-Feranas,Klermonferāna,,,,Клермон-Феран,,,क्लेरमाँ-फेराँ,,,,کلرمون-فران,,,,,,,,Clarmont (e Ferrand / d'Auvèrnhe),,,,,کلیمون-فیراند,,,,,,Клермон-Ферран,,,,,,,,,,Клермон Феран,,,,,,,แกลร์มง-แฟร็อง,,,,,,,Клермон-Ферран,,,,,,,,,,,,,克莱蒙费朗,,,,,,city,143886,,ieo-bdtopoc,Q42168,fr:Clermont-Ferrand,,,Cllârmont-Fèrrand,,216301135,,INSEE 2020,,,,https://clermont-ferrand.fr/,,Clarmont-d'Auvèrnhe,Klermon-Feran,63000,SAT: http://www.satesperanto.org/eldonkooperativo/IMG/jpg/Mapo201107.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,26686477,49.2577886,4.031926,,,,7,,,,,,Reims,,,,ريمس,,,,,,Рэймс,,Реймс,,,,,,,,,Remeš,,,Реймс,,Ρενς,,,,Reims,,,,,رنس,,,Reims,,,,,,,,,,,,,ריימס,,,,Reims,Ռեյմս,,,ランス,,რეიმსი,Реймс,,,랭스,,,,,,Durocortorum,,,,,,Reimsas,Reimsa,,,,Ремс,,,रेंस,,,,رنس,,,,,,,,Rems,,,,,رائیم,,,,,,Реймс,,,,,,,,,,Ремс,,,,,,,แร็งส์,,,,,,,Реймс,,,,,,,,,,,,,兰斯,,,,,,city,,,ieo-bdtopoc,Q41876,,,,,,,,,,,,,,,,,,Remso,Реймс,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,26686504,47.3215806,5.0414701,21000,,,4,,,,,,Dijon,,,,ديجون,,,,,,Дыжон,,,,,Dijoñ,,,,,,,,,,Dijon,Ντιζόν,,,,Diĵono,,,,,,,,Dijon,,,,,,,,,,,,,,,,,Dijon,,,Digione,ディジョン,,,,ឌីហ្សុង,ಡೀಝೋನ್,,,,,,,Divio,,,,,,Dižonas,,,,,,,,,,,,,,,,,,,,Dijon,,,,,,,,,,,Дижон,,,,,,,,,,Дижон,,,,,,,ดีฌง,,,,,,,Діжон,,,,,,,,,,,,,第戎,,,,,,city,156920,,ieo-bdtopoc,Q7003,fr:Dijon,,,,,212102313,,INSEE 2011,,,,,دجون,,,,,,,Dision,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,26686508,47.9027336,1.9086066,45000;45100,,,4,,,,,,Orléans,,,,أرليانش,,,,,,,,,,,Orleañs,,,,,,,,,,,Ορλεάνη,,,,Orleano,Orleans,,,,,,,,,,,,,,,,,,,,אורליאן,,,,Orléans,,,,オルレアン,,,,,,,,,,,,Cenabum,,,,,,Orleanas,,,,,Орлеан,,,,,,,,,,,,,,,Orleans,,,,Orlean,,,,Orleães,,,Орлеан,,,,,,,,,,Орлеан,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,city,,,ieo-bdtopoc,Q6548,fr:Orléans,,,,,214502346,,,,,,,أورليان;أليانش;أورليون,,,,,,,,奥尔良,奧爾良,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,26686514,49.8941708,2.2956951,,,,6,,,,,,Amiens,,,,أميان,,,,,,Ам’ен,,,,,Añmieñ,,,,,,,,,,,Αμιένη,,,,Amieno,,,,,امیان,,,Amiens,,,,,,,,,,,,,אמיין,,,,Amiens,Ամյեն,,,アミアン,,ამიენი,,,,아미앵,,,,,,Samarobriva,,,,,,Amjenas,,,,,,,,आमियां,,,,,,,,,,,,Amians,,,,,,,,,,,Амьен,,,,,,,,,,Амјен,,,,,,,อาเมียง,,,,,,,Ам’ен,امیان,,,,,,,,,,,,亞眠,,,,,,city,,,,Q41604,,,,,,,,,,,,,,,,,,,,,亚眠,亞眠,Anmien,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,26686518,43.6044622,1.4442469,31000;31100;31200;31300;31400;31500,,,4,,,,,,Toulouse,,ቱሉዝ,,تولوز,,,,,,Тулюза,,Тулуза,,ཊོའུ་ལོའུ་སེ།,Toloza,,Tolosa de Llenguadoc,,,Tolosa,,Tólóza,,,,Τουλούζη,,,,Tuluzo,Tolosa,,Tolosa Okzitania,,تولوز,,,Toulouse,,,,,,Tolosa,,,,,,,טולוז,तुलूज़,,,Toulouse,Թուլուզ,,Tolosa,トゥールーズ,,ტულუზა,Тулуза,,ತೂಲೂಸ್,툴루즈,,,,,,Tolosa,,,,,,Tulūza,Tulūza,,Тулузо,,Тулуза,ടൂളൂസ്,,तुलूझ,,,,تولوز,,Tolosa,,,,,,Tolosa,,Тулузæ,ਟੁਲੂਜ਼,Tuluza,تولوز,,,,,,Тулуза,,,Tolosa,Tolosa,,,,,,Тулуза,,,துலூஸ்,,,,ตูลูซ,,,Тулуза,,,,Тулуза,تولوز,,Tołoxa,,,,,ტულუზა,טולוז,,圖魯茲,,图卢兹,,,,,,city,441802,,ieo-bdtopoc,Q7880,oc:Tolosa,,,Tolosa,,213105554,,INSEE 2013,,,,https://www.toulouse.fr/,,,Tuluza,,,,Тулуза,Tholosen,,圖盧茲,,Tolosa,Tolosa,Tolosa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
