city,lat,lng,country,iso2,admin_name,capital,population,population_proper
Barcelona,41.3825,2.1769,Spain,ES,Catalonia,admin,4588000,1620343
Madrid,40.4189,-3.6919,Spain,ES,Madrid,primary,3266126,3266126
Sevilla,37.3828,-5.9731,Spain,ES,Andalusia,admin,1212045,703021
Valencia,39.4667,-0.3750,Spain,ES,Valencia,admin,794288,794288
Zaragoza,41.6483,-0.8830,Spain,ES,Aragon,admin,649404,448507
Málaga,36.7167,-4.4167,Spain,ES,Andalusia,minor,574654,574654
Palma,39.5667,2.6497,Spain,ES,Balearic Islands,admin,416065,416065
Murcia,37.9866,-1.1415,Spain,ES,Murcia,admin,406807,329838
Las Palmas,28.1272,-15.4314,Spain,ES,Canary Islands,admin,379925,379925
A Coruña,43.3713,-8.4188,Spain,ES,Galicia,minor,370610,242619
Donostia,43.3204,-1.9800,Spain,ES,Basque Country,minor,357468,183528
Bilbao,43.2622,-2.9533,Spain,ES,Basque Country,minor,346843,346843
Alicante,38.3453,-0.4831,Spain,ES,Valencia,minor,334887,334887
Córdoba,37.8833,-4.7667,Spain,ES,Andalusia,minor,325701,325701
Valladolid,41.6520,-4.7286,Spain,ES,Castille-Leon,admin,298412,298412
Vigo,42.2358,-8.7267,Spain,ES,Galicia,,295364,295364
Gijón,43.5293,-5.6773,Spain,ES,Asturias,,271780,271780
Vitoria-Gasteiz,42.8467,-2.6731,Spain,ES,Basque Country,admin,251774,251774
Granada,37.1781,-3.6008,Spain,ES,Andalusia,minor,232462,232462
Badalona,41.4333,2.2333,Spain,ES,Catalonia,,220440,220440
Cartagena,37.6000,-0.9819,Spain,ES,Murcia,,214802,214802
Sabadell,41.5483,2.1075,Spain,ES,Catalonia,,213644,213644
Jerez de la Frontera,36.7000,-6.1167,Spain,ES,Andalusia,,212749,212749
Santa Cruz,28.4667,-16.2500,Spain,ES,Canary Islands,admin,207312,207312
Pamplona,42.8167,-1.6500,Spain,ES,Navarre,admin,201653,201653
Almería,36.8333,-2.4500,Spain,ES,Andalusia,minor,198533,198533
Oviedo,43.3634,-5.8423,Spain,ES,Asturias,admin,189434,189434
Mataró,41.5400,2.4500,Spain,ES,Catalonia,,183293,116359
Albacete,38.9956,-1.8558,Spain,ES,Castille-La Mancha,minor,173329,173329
Santander,43.4667,-3.8000,Spain,ES,Cantabria,admin,172539,172539
Castellón de la Plana,39.9700,-0.0500,Spain,ES,Valencia,minor,171728,171728
Burgos,42.3500,-3.6822,Spain,ES,Castille-Leon,minor,170183,130319
La Laguna,28.4800,-16.3200,Spain,ES,Canary Islands,,157503,157503
Badajoz,38.8803,-6.9753,Spain,ES,Extremadura,minor,150702,150702
Salamanca,40.9667,-5.6639,Spain,ES,Castille-Leon,minor,144228,144228
Logroño,42.4704,-2.4300,Spain,ES,La Rioja,admin,143698,104139
Huelva,37.2500,-6.9500,Spain,ES,Andalusia,minor,143663,143663
Marbella,36.5114,-4.8834,Spain,ES,Andalusia,,143386,143386
Ciudad de Melilla,35.2937,-2.9383,Spain,ES,Melilla,,141308,73460
Tarragona,41.1187,1.2453,Spain,ES,Catalonia,minor,134515,134515
León,42.5989,-5.5669,Spain,ES,Castille-Leon,minor,124303,124303
Cádiz,36.5350,-6.2975,Spain,ES,Andalusia,minor,116027,116027
Jaén,37.7697,-3.7889,Spain,ES,Andalusia,minor,112999,112999
Algeciras,36.1267,-5.4665,Spain,ES,Andalusia,,111027,102348
Ourense,42.3364,-7.8633,Spain,ES,Galicia,minor,105233,105233
Girona,41.9833,2.8167,Spain,ES,Catalonia,minor,101852,101852
Lugo,43.0117,-7.5572,Spain,ES,Galicia,minor,98276,98276
Cáceres,39.4731,-6.3711,Spain,ES,Extremadura,minor,96126,96126
Lorca,37.6833,-1.7000,Spain,ES,Murcia,,94404,94404
Santiago de Compostela,42.8805,-8.5457,Spain,ES,Galicia,admin,92430,83012
El Puerto de Santa María,36.6015,-6.2381,Spain,ES,Andalusia,,88405,88405
Ciudad de Ceuta,35.8867,-5.3000,Spain,ES,Ceuta,,84777,84777
Pontevedra,42.4336,-8.6475,Spain,ES,Galicia,minor,83029,83029
Mijas,36.5956,-4.6372,Spain,ES,Andalusia,,82742,82742
Guadalajara,40.6335,-3.1669,Spain,ES,Castille-La Mancha,minor,82376,82376
Avilés,43.5561,-5.9222,Spain,ES,Asturias,,78182,78182
Rubí,41.4933,2.0325,Spain,ES,Catalonia,,77464,77464
Toledo,39.8670,-4.0167,Spain,ES,Castille-La Mancha,admin,74632,33125
Gandía,38.9667,-0.1822,Spain,ES,Valencia,,74562,74562
Benidorm,38.5342,-0.1314,Spain,ES,Valencia,,68721,68721
Benalmádena,36.5969,-4.5535,Spain,ES,Andalusia,,68128,68128
Villanueva y Geltrú,41.2243,1.7259,Spain,ES,Catalonia,,67086,67086
